Area name,2015,2015 Conf,2016,2016 Conf,2017,2017 Conf,2018,2018 Conf,2019,2019 Conf,2020,2020 Conf,2021,2021 Conf,2022,2022 Conf,2023,2023 Conf,2024,2024 Conf
"Tower Hamlets",7.6,1.6,7.9,1.7,8.0,2.1,5.6,1.7,5.4,1.6,6.9,2.0,5.9,1.8,4.6,2.0,6.3,2.2,6.1,2.1
"Waltham Forest",6.5,1.5,5.9,1.3,5.2,1.4,4.0,1.2,5.2,1.4,7.7,1.9,6.6,1.6,5.9,1.9,5.3,1.7,4.2,1.3
"Wandsworth",5.0,1.1,4.7,1.1,3.7,1.2,3.9,1.2,3.5,1.1,5.0,1.4,4.3,1.3,2.5,1.1,4.0,1.5,4.6,1.7
"Westminster",6.3,1.3,6.1,1.4,5.6,1.6,4.9,1.5,4.2,1.4,6.1,1.8,5.0,1.6,3.4,1.5,5.0,2.0,5.0,1.8



"-","These figures are missing."

"","Unemployment estimates for local authority areas except county councils are"
"","model-based."
"","Estimates for other geography types are not model-based and are taken"
"","directly from"
"","the Annual Population Survey dataset."
"",""

"Model-based estimates of unemployment"
"ONS Crown Copyright Reserved [from Nomis on 23 April 2025]"
"Analysis   :","standard"
"Item Name  :","Unemployment rate (model based)"
"Confidence :","95% confidence interval (+/-)"


